Model,Years_Working,Production_Year,Range_km,Engine_Type,Fuel_Consumption,Capacity,Hourly_Maintenance_Cost,Region,Price_USD
Cessna 172,25,1999,955,Piston,0.04,4,2813.13,North America,106117.71
Airbus A320,3,2021,6068,Turbofan,2.61,177,4573.94,South America,89397949.18
Boeing 737,20,2004,6337,Turbofan,2.55,206,2979.33,Africa,42282053.29
Boeing 747,4,2020,13495,Turbofan,9.97,661,1124.17,Europe,402006504.08
Cessna 172,7,2017,1510,Piston,0.04,4,1030.09,Asia,264311.52
Airbus A320,15,2009,5831,Turbofan,2.54,179,4394.12,Africa,54418855.31
Boeing 747,33,1991,14255,Turbofan,9.14,658,966.13,Europe,77707441.69
Boeing 777,0,2024,15973,Turbofan,7.33,406,3124.87,South America,295210163.19
Airbus A320,8,2016,5960,Turbofan,2.63,185,1654.76,Africa,57303885.78
Boeing 777,28,1996,15438,Turbofan,6.37,405,4751.42,South America,92197540.89
Airbus A320,24,2000,5835,Turbofan,2.7,170,4010.22,Asia,34985105.84
Boeing 777,20,2004,15448,Turbofan,7.09,401,1581.23,South America,152745539.05
Cessna 172,7,2017,1415,Piston,0.04,4,3226.89,South America,252915.0
Boeing 747,19,2005,13505,Turbofan,9.98,666,4456.96,Africa,167337785.77
Boeing 747,20,2004,14270,Turbofan,9.01,653,3018.96,North America,146095501.97
Boeing 777,11,2013,16146,Turbofan,7.15,404,2309.07,North America,243644020.73
Airbus A320,27,1997,5939,Turbofan,2.37,174,3841.46,Middle East,29342991.99
Boeing 737,11,2013,6728,Turbofan,2.53,220,2305.72,Europe,67065083.58
Cessna 172,32,1992,893,Piston,0.04,4,1497.74,Asia,100000.0
Boeing 777,20,2004,15221,Turbofan,6.95,388,1311.23,Africa,122384432.17
Airbus A380,19,2005,14759,Turbofan,12.1,846,2678.29,South America,161150510.57
Boeing 747,16,2008,13391,Turbofan,10.93,669,4948.97,North America,174047042.28
Airbus A320,27,1997,6717,Turbofan,2.36,178,896.82,Middle East,26233749.92
Boeing 777,22,2002,15812,Turbofan,7.04,393,1194.93,Asia,127540337.14
Boeing 747,14,2010,14185,Turbofan,10.47,666,2389.49,Africa,175267976.18
Cessna 172,17,2007,1681,Piston,0.04,4,4442.38,Africa,134304.82
Airbus A380,10,2014,14811,Turbofan,13.16,855,4351.42,Asia,253972912.62
Boeing 777,11,2013,15480,Turbofan,6.95,395,4320.54,Africa,226048866.25
Boeing 737,22,2002,6530,Turbofan,2.49,217,2804.74,South America,30711855.5
Airbus A380,1,2023,15270,Turbofan,10.85,843,2669.38,Middle East,497303651.41
Boeing 777,27,1997,15491,Turbofan,7.31,388,3845.44,Oceania,80031044.2
Cessna 172,7,2017,996,Piston,0.04,4,2098.32,Europe,243216.22
Airbus A350-1000,5,2019,16512,Turbofan,5.09,403,4058.9,Middle East,326069999.62
Boeing 737,7,2017,7024,Turbofan,2.75,217,942.26,Oceania,65744154.18
Boeing 777,7,2017,15431,Turbofan,6.61,390,2691.78,Asia,272279470.1
Cessna 172,3,2021,1154,Piston,0.04,4,679.43,Africa,282453.34
Boeing 777,5,2019,15804,Turbofan,6.46,405,2248.61,Africa,234430140.3
Boeing 777,4,2020,15984,Turbofan,6.85,389,3894.29,Asia,315641513.49
Boeing 737,28,1996,6915,Turbofan,2.9,209,1769.3,South America,24239859.39
Airbus A350-1000,7,2017,16459,Turbofan,4.75,400,2275.76,Middle East,212066505.83
Airbus A350-1000,0,2024,16225,Turbofan,5.12,411,3095.12,South America,321215495.9
Boeing 747,14,2010,13899,Turbofan,10.33,668,4264.15,Europe,173193980.07
Airbus A320,6,2018,6517,Turbofan,2.74,188,3444.61,Oceania,88295794.21
Airbus A380,11,2013,15110,Turbofan,12.06,852,2164.38,North America,241789550.99
Boeing 737,0,2024,6152,Turbofan,2.9,201,4332.03,Africa,88633887.49
Airbus A380,8,2016,14944,Turbofan,10.88,847,3071.59,Asia,271981490.25
Boeing 737,7,2017,6559,Turbofan,2.69,205,4631.36,Asia,61616673.54
Boeing 747,19,2005,13300,Turbofan,10.93,660,2814.21,South America,138907363.78
Airbus A350-1000,7,2017,15752,Turbofan,4.82,416,4569.1,South America,293399844.32
Cessna 172,20,2004,1192,Piston,0.04,4,3290.63,Oceania,128512.5
Boeing 747,13,2011,13370,Turbofan,10.24,668,1242.48,Europe,191905554.32
Boeing 737,19,2005,6189,Turbofan,2.67,204,1618.1,Middle East,41847982.5
Boeing 777,2,2022,15729,Turbofan,6.61,389,4223.65,Africa,319959408.61
Cessna 172,20,2004,1059,Piston,0.04,4,3304.36,North America,171663.41
Boeing 737,21,2003,7011,Turbofan,2.87,209,3274.29,Middle East,29417044.02
Boeing 777,9,2015,15838,Turbofan,7.21,394,1819.49,Asia,213444828.04
Boeing 777,1,2023,16194,Turbofan,6.85,395,3053.22,North America,296336737.12
Boeing 747,34,1990,13969,Turbofan,10.32,654,857.65,Middle East,60045049.1
Boeing 747,13,2011,14207,Turbofan,10.59,654,3640.65,North America,187424058.0
Airbus A380,3,2021,15358,Turbofan,12.28,850,4385.05,Europe,351348435.12
Airbus A320,34,1990,6609,Turbofan,2.71,184,4431.52,Europe,18194415.35
Airbus A320,13,2011,6195,Turbofan,2.42,181,938.53,Oceania,46447534.45
Boeing 747,0,2024,14288,Turbofan,9.16,664,4215.3,Middle East,467519649.4
Airbus A380,6,2018,15665,Turbofan,11.62,842,1079.9,Asia,327290083.16
Boeing 777,13,2011,15670,Turbofan,7.09,396,2883.45,South America,182362030.33
Airbus A380,2,2022,15319,Turbofan,11.09,844,2397.75,Middle East,470109486.12
Boeing 737,29,1995,7033,Turbofan,2.74,210,4267.4,Middle East,21616793.75
Airbus A320,23,2001,6447,Turbofan,2.56,182,3856.22,Africa,26023556.57
Airbus A380,11,2013,15109,Turbofan,11.31,845,2115.22,Africa,254813639.82
Boeing 777,17,2007,15345,Turbofan,6.74,397,4782.28,Middle East,170021361.18
Cessna 172,27,1997,1676,Piston,0.04,4,4627.42,Asia,103947.54
Airbus A380,7,2017,15152,Turbofan,11.33,846,601.01,Asia,313705942.15
Airbus A320,26,1998,6210,Turbofan,2.58,172,3380.73,Europe,27537032.02
Airbus A380,9,2015,15134,Turbofan,12.37,857,2453.59,North America,270373109.18
Airbus A320,18,2006,6232,Turbofan,2.55,180,4347.43,South America,47575866.79
Boeing 777,30,1994,15361,Turbofan,6.46,394,4921.81,Europe,75038253.78
Airbus A350-1000,7,2017,16101,Turbofan,5.54,408,1364.5,Africa,284537857.32
Boeing 747,13,2011,14062,Turbofan,9.01,657,3068.34,South America,195994097.88
Airbus A350-1000,6,2018,15768,Turbofan,5.65,400,1035.81,Middle East,313042678.83
Cessna 172,29,1995,1656,Piston,0.04,4,716.01,Asia,106972.54
Boeing 777,24,2000,15354,Turbofan,6.44,392,3155.08,North America,101364789.67
Airbus A380,1,2023,14962,Turbofan,12.61,840,1444.98,Europe,389990104.7
Boeing 747,11,2013,13773,Turbofan,10.88,658,4848.18,Middle East,258242418.23
Boeing 737,6,2018,6892,Turbofan,2.9,206,2352.89,Africa,79008815.76
Boeing 777,12,2012,15270,Turbofan,7.44,404,2962.53,Middle East,209807431.72
Cessna 172,0,2024,1145,Piston,0.04,4,867.47,South America,449393.87
Boeing 737,2,2022,6944,Turbofan,2.48,205,3548.68,Middle East,78566096.96
Cessna 172,24,2000,895,Piston,0.04,4,4774.21,North America,114204.32
Boeing 747,29,1995,13524,Turbofan,9.79,658,2424.23,Oceania,111709740.51
Boeing 777,2,2022,15618,Turbofan,6.63,398,3971.58,Middle East,274029325.9
Boeing 747,1,2023,14257,Turbofan,9.9,658,3514.8,Europe,332507041.59
Airbus A320,3,2021,6378,Turbofan,2.59,183,2973.72,Africa,80579825.17
Cessna 172,20,2004,1612,Piston,0.04,4,4441.5,Asia,118453.33
Airbus A320,10,2014,6506,Turbofan,2.33,179,4949.39,Asia,69019518.49
Airbus A320,2,2022,5848,Turbofan,2.68,183,2228.48,Europe,104420383.73
Boeing 777,23,2001,15567,Turbofan,7.41,398,3868.86,South America,127854876.65
Boeing 777,14,2010,15601,Turbofan,6.91,396,2986.16,South America,201665011.88
Airbus A380,18,2006,15241,Turbofan,12.09,849,625.7,Middle East,182344817.91
Airbus A350-1000,0,2024,16099,Turbofan,5.07,404,2586.45,North America,350305468.64
Cessna 172,25,1999,1399,Piston,0.04,4,4631.94,South America,100000.0
Boeing 747,21,2003,13864,Turbofan,10.67,660,3074.36,Oceania,121635836.55
Boeing 777,22,2002,15828,Turbofan,7.28,389,3570.86,Oceania,121001671.11
Airbus A380,10,2014,15151,Turbofan,12.65,856,3509.68,Asia,306922623.04
Cessna 172,29,1995,1142,Piston,0.04,4,2775.61,Asia,100000.0
Cessna 172,34,1990,1669,Piston,0.04,4,2402.76,Africa,100000.0
Airbus A350-1000,7,2017,16460,Turbofan,4.7,411,555.1,Middle East,278360537.65
Boeing 747,32,1992,14245,Turbofan,10.1,658,566.43,Asia,72882056.95
Airbus A350-1000,5,2019,15681,Turbofan,5.48,401,845.31,Middle East,313404346.82
Boeing 737,4,2020,6432,Turbofan,2.87,216,936.31,North America,90427989.92
Cessna 172,12,2012,949,Piston,0.04,4,3135.2,Oceania,232698.38
Cessna 172,21,2003,1036,Piston,0.04,4,3408.18,North America,148762.62
Boeing 737,24,2000,6761,Turbofan,2.85,209,1110.75,Europe,28777078.4
Airbus A350-1000,7,2017,15946,Turbofan,4.79,407,1303.17,Middle East,241544506.92
Boeing 747,18,2006,14058,Turbofan,10.74,666,3496.74,Asia,153550982.08
Boeing 777,22,2002,15891,Turbofan,7.27,394,4814.49,Asia,126615467.08
Airbus A380,7,2017,15417,Turbofan,12.38,843,2763.78,Oceania,345696484.78
Airbus A350-1000,1,2023,16468,Turbofan,5.38,409,2384.16,North America,355968221.34
Cessna 172,22,2002,1470,Piston,0.04,4,1046.39,North America,135118.85
Boeing 777,5,2019,15882,Turbofan,7.16,402,4525.04,Middle East,257949879.86
Airbus A350-1000,4,2020,16126,Turbofan,5.66,409,1821.23,North America,326959006.23
Cessna 172,10,2014,1523,Piston,0.04,4,4858.57,Asia,224802.57
Airbus A350-1000,1,2023,16191,Turbofan,5.42,408,2833.21,Europe,372708314.02
Airbus A380,3,2021,15534,Turbofan,11.53,843,1909.22,Africa,359094690.12
Airbus A380,16,2008,15628,Turbofan,12.7,853,2581.55,Middle East,191034884.16
Cessna 172,1,2023,1221,Piston,0.04,4,602.28,Europe,371407.32
Airbus A320,30,1994,6253,Turbofan,2.45,182,2616.65,Africa,25402792.91
Airbus A350-1000,7,2017,15652,Turbofan,5.45,404,1130.71,Asia,280587459.73
Boeing 737,34,1990,6289,Turbofan,2.48,214,4607.3,Middle East,15820260.36
Airbus A380,11,2013,15159,Turbofan,11.19,855,811.01,Africa,222597397.17
Airbus A380,6,2018,15033,Turbofan,11.52,846,1746.17,North America,294415112.19
Airbus A380,16,2008,15162,Turbofan,12.09,840,2930.3,Asia,208617674.49
Airbus A380,4,2020,14795,Turbofan,12.45,854,680.98,Europe,421024980.47
Airbus A350-1000,2,2022,15691,Turbofan,4.77,414,4567.47,Africa,280512591.31
Airbus A380,1,2023,15539,Turbofan,11.0,840,1512.75,Oceania,467836202.11
Airbus A380,12,2012,15693,Turbofan,13.2,848,4666.47,Africa,259149099.94
Boeing 777,16,2008,16092,Turbofan,6.14,406,2960.84,Asia,154207380.42
Boeing 737,17,2007,6693,Turbofan,2.46,205,512.14,Europe,47461157.04
Boeing 737,22,2002,6914,Turbofan,2.44,210,3218.03,Oceania,33316453.31
Airbus A380,8,2016,14737,Turbofan,10.93,849,3804.21,South America,285910290.94
Airbus A380,8,2016,14872,Turbofan,11.48,856,2186.74,Africa,322510306.72
Boeing 737,8,2016,6420,Turbofan,2.86,217,573.16,Middle East,64434604.92
Airbus A380,7,2017,15548,Turbofan,11.62,853,2573.03,Africa,257420874.89
Boeing 747,2,2022,14233,Turbofan,10.67,651,4229.13,Middle East,412532678.84
Airbus A380,18,2006,15654,Turbofan,11.88,843,2814.19,Oceania,141428136.68
Airbus A320,29,1995,6621,Turbofan,2.32,185,1093.0,Africa,25155687.69
Airbus A320,9,2015,6323,Turbofan,2.45,182,2662.83,South America,62198737.34
Airbus A380,11,2013,15198,Turbofan,11.61,847,2750.3,Middle East,279808549.58
Boeing 737,32,1992,6304,Turbofan,2.69,214,2182.63,South America,20129313.58
Airbus A350-1000,8,2016,16276,Turbofan,5.65,419,2224.19,Oceania,288753759.97
Boeing 737,22,2002,6980,Turbofan,2.65,219,2430.54,North America,35804457.26
Boeing 747,13,2011,13329,Turbofan,10.57,667,4890.12,North America,178411889.76
Airbus A320,3,2021,6794,Turbofan,2.64,177,1593.94,South America,80309999.14
Boeing 747,30,1994,13905,Turbofan,9.8,655,1722.16,Middle East,74450262.4
Airbus A380,15,2009,15081,Turbofan,11.92,848,4212.6,Oceania,177717667.55
Boeing 737,33,1991,6271,Turbofan,2.44,201,4237.15,Africa,21610199.81
Boeing 777,16,2008,15991,Turbofan,7.48,404,1126.34,South America,175862423.46
Airbus A380,16,2008,15189,Turbofan,11.64,856,1065.18,Asia,191364383.96
Airbus A380,11,2013,15643,Turbofan,11.0,860,2810.84,Oceania,288696184.75
Cessna 172,6,2018,1282,Piston,0.04,4,2093.98,Africa,312662.85
Boeing 747,23,2001,13412,Turbofan,9.53,660,3866.54,Middle East,129145815.9
Boeing 747,12,2012,14240,Turbofan,9.77,652,3726.89,Oceania,249510494.63
Airbus A350-1000,6,2018,16581,Turbofan,5.36,411,4214.25,North America,281259129.95
Airbus A380,14,2010,15482,Turbofan,13.15,853,1924.74,South America,204184539.94
Cessna 172,32,1992,1755,Piston,0.04,4,1870.31,South America,100000.0
Cessna 172,28,1996,1712,Piston,0.04,4,678.63,Europe,106331.99
Airbus A380,6,2018,14882,Turbofan,11.21,853,1967.32,Europe,265061933.21
Boeing 737,4,2020,6407,Turbofan,2.51,217,2580.35,Europe,95074727.57
Airbus A380,10,2014,15056,Turbofan,12.48,855,4915.85,South America,308022117.68
Airbus A320,11,2013,6139,Turbofan,2.57,188,1100.81,Oceania,61924788.49
Cessna 172,16,2008,1206,Piston,0.04,4,628.0,North America,158693.49
Airbus A350-1000,4,2020,15897,Turbofan,5.56,401,909.58,Asia,334937071.83
Airbus A350-1000,2,2022,16073,Turbofan,4.82,411,1807.55,Africa,350067369.34
Boeing 777,4,2020,15566,Turbofan,6.5,392,2912.87,Asia,293649699.5
Boeing 747,16,2008,13695,Turbofan,9.08,653,2718.53,Africa,201180421.92
Cessna 172,8,2016,1516,Piston,0.04,4,3141.28,Africa,291102.76
Airbus A350-1000,7,2017,16193,Turbofan,4.78,404,3686.53,North America,262212852.19
Boeing 737,3,2021,6388,Turbofan,2.92,203,1654.84,Asia,95389978.55
Cessna 172,18,2006,832,Piston,0.04,4,1790.22,Europe,157858.18
Airbus A350-1000,6,2018,15927,Turbofan,4.7,407,4636.32,Middle East,293914656.55
Boeing 777,2,2022,16169,Turbofan,7.36,406,4892.76,Middle East,347552148.0
Boeing 747,8,2016,13665,Turbofan,10.52,658,3299.24,Middle East,250950451.14
Boeing 737,16,2008,6330,Turbofan,2.76,220,2222.75,Africa,51751169.8
Cessna 172,10,2014,1004,Piston,0.04,4,3348.53,Oceania,195878.7
Airbus A320,16,2008,6605,Turbofan,2.55,184,4633.2,Oceania,37736497.96
Airbus A320,9,2015,5889,Turbofan,2.62,178,2807.46,Middle East,73112356.49
Airbus A320,15,2009,6793,Turbofan,2.46,174,672.4,Oceania,39931672.04
Airbus A380,3,2021,14727,Turbofan,12.53,857,3114.46,South America,456591773.29
Boeing 737,2,2022,6766,Turbofan,2.78,208,3454.22,Oceania,88891332.04
Boeing 737,23,2001,7041,Turbofan,2.56,202,1336.82,North America,36366916.01
Boeing 737,20,2004,6186,Turbofan,2.76,211,4175.43,North America,42000327.17
Boeing 747,6,2018,13554,Turbofan,10.04,663,3649.72,Africa,346242882.25
Cessna 172,19,2005,1049,Piston,0.04,4,640.39,North America,166191.07
Cessna 172,24,2000,1755,Piston,0.04,4,3810.16,Oceania,124323.87
Boeing 747,14,2010,14259,Turbofan,9.35,669,2056.95,Asia,239322912.97
Boeing 737,26,1998,6649,Turbofan,2.89,203,3939.01,North America,29192457.59
Boeing 747,7,2017,13362,Turbofan,9.3,659,3217.78,Europe,270388353.15
Airbus A350-1000,0,2024,15700,Turbofan,5.64,409,1381.21,Africa,385086445.13
Airbus A380,7,2017,15499,Turbofan,12.6,843,2056.62,Africa,365204847.11
Airbus A380,8,2016,15213,Turbofan,11.0,854,1072.73,Europe,278282603.42
Boeing 777,24,2000,15313,Turbofan,6.82,404,1446.34,Oceania,108202406.01
Boeing 747,9,2015,14093,Turbofan,9.33,654,2065.51,North America,262787187.64
Boeing 737,15,2009,6367,Turbofan,2.83,206,717.09,North America,42501237.46
Boeing 747,1,2023,13721,Turbofan,9.74,668,3555.34,Africa,324121785.91
Boeing 747,5,2019,13729,Turbofan,9.57,668,2307.02,South America,283716915.83
Airbus A380,0,2024,15492,Turbofan,12.2,851,4015.21,Europe,470897412.65
Airbus A320,29,1995,6459,Turbofan,2.41,185,998.1,Asia,25743906.65
Airbus A380,8,2016,15314,Turbofan,10.89,848,4958.77,Africa,327441405.85
Boeing 737,17,2007,6913,Turbofan,2.49,200,550.52,Middle East,37368333.84
Boeing 737,26,1998,6400,Turbofan,2.82,207,3796.01,North America,21734756.19
Airbus A320,3,2021,5900,Turbofan,2.56,179,981.96,Middle East,83954243.21
Cessna 172,7,2017,966,Piston,0.04,4,1800.67,North America,223638.11
Cessna 172,28,1996,1184,Piston,0.04,4,4228.72,Oceania,100000.0
Airbus A350-1000,4,2020,16582,Turbofan,5.43,407,4831.62,North America,242140293.52
Airbus A320,4,2020,6087,Turbofan,2.4,187,1271.39,Middle East,75074102.85
Boeing 737,26,1998,6544,Turbofan,2.53,214,4882.22,Asia,27317814.05
Boeing 737,31,1993,6355,Turbofan,2.75,206,2386.08,Africa,23320034.45
Boeing 777,28,1996,15322,Turbofan,7.08,394,2790.54,South America,82965656.71
Cessna 172,3,2021,1424,Piston,0.04,4,3359.27,North America,297107.64
Airbus A350-1000,2,2022,16011,Turbofan,4.91,405,2172.18,Middle East,371162011.99
Boeing 747,34,1990,14038,Turbofan,10.9,669,3180.77,Middle East,68803611.52
Airbus A320,3,2021,6117,Turbofan,2.59,182,3219.5,Middle East,80923731.93
Airbus A320,5,2019,5857,Turbofan,2.66,185,4480.81,North America,75885830.35
Airbus A320,26,1998,5946,Turbofan,2.7,188,4671.31,Oceania,23601548.49
Boeing 747,1,2023,13720,Turbofan,10.08,662,773.42,Oceania,434945802.64
Airbus A380,10,2014,15324,Turbofan,12.92,846,1632.55,Oceania,273998823.92
Boeing 737,27,1997,6489,Turbofan,2.96,208,644.36,Oceania,21071032.49
Cessna 172,9,2015,861,Piston,0.04,4,4410.72,South America,219801.42
Boeing 747,5,2019,13869,Turbofan,9.35,652,3064.79,South America,353873079.47
Airbus A380,16,2008,14967,Turbofan,11.6,847,4502.33,Oceania,224289519.09
Boeing 737,32,1992,6200,Turbofan,2.88,219,554.96,Africa,16465996.21
Boeing 777,22,2002,15722,Turbofan,7.23,394,833.17,Oceania,111338172.19
Airbus A380,12,2012,15572,Turbofan,13.15,849,4278.44,Africa,284113857.17
Cessna 172,32,1992,1660,Piston,0.04,4,621.88,Asia,100000.0
Cessna 172,11,2013,1270,Piston,0.04,4,4578.95,North America,239592.08
Boeing 737,32,1992,6942,Turbofan,2.52,216,1994.49,Europe,21231864.18
Boeing 747,5,2019,13314,Turbofan,9.72,660,3272.54,Africa,373662238.94
Cessna 172,29,1995,1592,Piston,0.04,4,4935.52,Middle East,100000.0
Cessna 172,17,2007,793,Piston,0.04,4,2221.62,South America,196099.5
Airbus A320,16,2008,6787,Turbofan,2.28,177,4274.93,North America,47513539.66
Boeing 737,22,2002,6926,Turbofan,2.62,216,3527.71,South America,34126443.61
Airbus A320,26,1998,6248,Turbofan,2.4,176,3528.87,South America,22970745.89
Airbus A320,22,2002,6722,Turbofan,2.27,182,2242.12,Europe,30560199.22
Cessna 172,13,2011,947,Piston,0.04,4,2415.26,Middle East,197678.89
Airbus A380,17,2007,15105,Turbofan,13.06,853,1974.54,Asia,190559833.38
Airbus A320,24,2000,6215,Turbofan,2.74,173,3996.7,Oceania,33318719.59
Boeing 737,25,1999,6646,Turbofan,2.55,217,3776.36,North America,32399660.27
Airbus A380,0,2024,14906,Turbofan,11.8,860,4351.1,Asia,392933290.9
Airbus A350-1000,8,2016,16190,Turbofan,5.4,418,2123.29,Asia,248155043.03
Boeing 747,17,2007,13697,Turbofan,10.02,659,566.53,Africa,168957237.16
Airbus A320,27,1997,6546,Turbofan,2.68,173,3920.5,Oceania,28294077.43
Airbus A380,15,2009,15144,Turbofan,11.5,850,3477.03,South America,205387737.06
Cessna 172,13,2011,957,Piston,0.04,4,640.74,Oceania,220491.52
Airbus A380,9,2015,15327,Turbofan,11.88,846,2642.73,Oceania,253318583.71
Airbus A380,17,2007,15248,Turbofan,11.84,858,4417.26,North America,221525240.35
Airbus A350-1000,8,2016,15847,Turbofan,5.16,407,2506.18,Europe,242724649.05
Airbus A320,22,2002,6554,Turbofan,2.48,182,2161.58,Asia,34919354.31
Airbus A320,10,2014,6174,Turbofan,2.55,182,2874.31,North America,63108476.45
Boeing 747,14,2010,14026,Turbofan,9.63,661,969.82,Middle East,235537493.3
Airbus A320,11,2013,6034,Turbofan,2.64,171,3298.93,Europe,61720065.08
Airbus A380,1,2023,15576,Turbofan,12.86,852,698.94,Europe,414908773.94
Boeing 747,4,2020,14153,Turbofan,10.52,659,4658.13,North America,381895158.17
Boeing 777,6,2018,15887,Turbofan,7.14,403,2653.09,Africa,226891660.21
Boeing 737,28,1996,6744,Turbofan,2.7,220,1754.75,South America,28140887.99
Airbus A380,8,2016,15669,Turbofan,11.17,852,1289.56,North America,334274443.07
Airbus A320,12,2012,6105,Turbofan,2.52,182,3776.22,Africa,64547218.9
Boeing 747,21,2003,13938,Turbofan,9.46,664,2222.45,South America,169508711.22
Airbus A380,1,2023,14818,Turbofan,12.31,853,4433.12,Europe,390953453.62
Boeing 747,1,2023,13994,Turbofan,9.87,668,3424.77,Africa,342709139.67
Airbus A380,13,2011,15348,Turbofan,11.35,844,1815.35,Oceania,219612611.56
Boeing 777,21,2003,15913,Turbofan,7.26,388,3579.27,Africa,140267853.09
Airbus A380,18,2006,15181,Turbofan,11.24,850,4141.97,Europe,151828092.78
Boeing 737,8,2016,6867,Turbofan,2.59,207,837.23,North America,75665522.99
Boeing 737,11,2013,6893,Turbofan,2.53,213,1210.47,Oceania,60612666.57
Boeing 737,26,1998,6419,Turbofan,2.87,207,2798.98,Europe,28591527.79
Cessna 172,9,2015,1451,Piston,0.04,4,1128.75,Europe,233547.78
Airbus A350-1000,6,2018,15887,Turbofan,5.5,413,2330.53,Asia,294224648.05
Boeing 747,34,1990,14032,Turbofan,9.31,667,724.4,South America,60192071.08
Airbus A350-1000,3,2021,16417,Turbofan,5.02,407,3884.53,Europe,329684495.22
Airbus A380,3,2021,14870,Turbofan,12.9,842,4074.27,Middle East,310677220.87
Airbus A350-1000,6,2018,16535,Turbofan,5.52,419,3384.18,Europe,236920320.62
Airbus A350-1000,1,2023,16056,Turbofan,4.75,407,3896.55,Africa,364228028.19
Airbus A320,30,1994,5808,Turbofan,2.35,171,1082.79,Africa,20180880.46
Boeing 747,7,2017,14051,Turbofan,10.19,666,4576.48,Europe,336353022.86
Boeing 747,14,2010,13727,Turbofan,10.73,668,4835.63,South America,169710606.97
Airbus A350-1000,2,2022,16269,Turbofan,5.57,411,2046.97,Asia,313980098.42
Airbus A350-1000,8,2016,15676,Turbofan,4.94,416,3862.18,Middle East,203933533.45
Airbus A320,28,1996,6768,Turbofan,2.26,182,3586.58,Europe,20159379.72
Airbus A380,10,2014,15658,Turbofan,11.84,850,2577.75,Africa,312499573.64
Airbus A350-1000,1,2023,16298,Turbofan,5.04,406,2500.39,Oceania,293145371.98
Boeing 777,18,2006,15752,Turbofan,6.7,395,3896.01,North America,161258376.53
Boeing 747,1,2023,14030,Turbofan,9.35,666,2903.56,Oceania,447513086.49
Boeing 777,24,2000,15972,Turbofan,7.07,400,1718.72,Europe,99939396.12
Airbus A350-1000,8,2016,16184,Turbofan,5.43,403,1938.13,Africa,289417361.43
Airbus A380,2,2022,14952,Turbofan,11.42,859,4995.19,South America,415613580.08
Airbus A380,16,2008,14766,Turbofan,12.88,841,1735.47,South America,182326160.59
Airbus A350-1000,0,2024,15631,Turbofan,5.1,411,4608.78,South America,434841754.91
Boeing 777,3,2021,16081,Turbofan,7.36,389,3669.87,Africa,356284950.22
Boeing 747,33,1991,13587,Turbofan,9.89,650,3805.25,Middle East,82422343.55
Cessna 172,3,2021,1501,Piston,0.04,4,2381.74,Africa,400138.83
Airbus A320,28,1996,6250,Turbofan,2.4,189,2878.71,Oceania,21376145.6
Airbus A380,4,2020,15520,Turbofan,12.8,857,4820.42,North America,329847249.63
Airbus A350-1000,8,2016,16596,Turbofan,5.47,401,2599.34,Africa,197913009.02
Boeing 747,1,2023,13750,Turbofan,9.59,665,1195.6,Middle East,319774754.43
Boeing 737,31,1993,7006,Turbofan,2.86,206,2366.32,Africa,16704702.4
Cessna 172,13,2011,1181,Piston,0.04,4,2113.05,Middle East,189393.4
Airbus A320,26,1998,6650,Turbofan,2.4,172,552.04,North America,28453949.32
Cessna 172,14,2010,1265,Piston,0.04,4,3378.87,South America,202889.82
Airbus A350-1000,2,2022,16112,Turbofan,4.82,413,4823.79,Oceania,376902145.74
Airbus A320,26,1998,6490,Turbofan,2.63,185,4588.02,Europe,30464081.94
Boeing 737,31,1993,6104,Turbofan,2.81,211,3495.7,Africa,17111381.38
Boeing 777,21,2003,15815,Turbofan,7.29,387,4078.02,Africa,132136023.86
Boeing 777,6,2018,15981,Turbofan,7.34,396,3593.65,Asia,295946911.03
Airbus A380,18,2006,15553,Turbofan,11.15,860,2070.25,Oceania,170094065.42
Airbus A350-1000,7,2017,15980,Turbofan,5.5,416,701.24,Oceania,286560028.63
Boeing 777,0,2024,16001,Turbofan,6.69,402,1654.43,Africa,343068217.93
Airbus A350-1000,1,2023,15823,Turbofan,4.95,403,3859.98,Oceania,311166807.75
Airbus A350-1000,3,2021,15719,Turbofan,5.02,411,4147.88,Africa,341886528.52
Cessna 172,5,2019,906,Piston,0.04,4,4519.2,North America,253842.21
Boeing 777,15,2009,15963,Turbofan,7.18,400,1342.81,Asia,189924740.0
Airbus A380,11,2013,14701,Turbofan,11.77,840,4825.28,Oceania,243800180.26
Boeing 737,6,2018,6689,Turbofan,2.97,209,4519.7,Africa,82995652.34
Boeing 737,28,1996,6987,Turbofan,2.71,217,1812.69,Europe,28193943.3
Boeing 737,17,2007,6634,Turbofan,2.9,206,3747.58,Asia,42714867.73
Airbus A350-1000,6,2018,15858,Turbofan,5.08,411,4005.96,Asia,321097750.6
Airbus A380,0,2024,15557,Turbofan,12.6,854,4134.38,Europe,515314791.77
Airbus A350-1000,7,2017,15643,Turbofan,4.79,418,1456.7,Oceania,214720976.63
Boeing 777,16,2008,15247,Turbofan,6.24,386,1077.71,Africa,169714104.1
Airbus A380,3,2021,14919,Turbofan,13.04,858,1961.54,North America,419541015.84
Airbus A350-1000,5,2019,15968,Turbofan,5.34,419,1552.11,North America,279580084.46
Airbus A320,4,2020,6109,Turbofan,2.31,173,1317.22,North America,94738736.73
Airbus A320,20,2004,6425,Turbofan,2.64,182,2058.77,Oceania,32474803.32
Airbus A380,11,2013,15161,Turbofan,11.63,842,3281.67,North America,283343770.38
Cessna 172,12,2012,1208,Piston,0.04,4,4485.39,Asia,212513.87
